time_s,world_x_mm,world_y_mm,world_z_mm,plot_x_mm,plot_y_mm,plot_z_mm,vel_x_mm_s,vel_y_mm_s,vel_z_mm_s,speed_mm_s,tilt_deg,vel_elev_deg,is_contact_frame,is_minimum_frame,is_release_frame
17.46,144.406174,293.879974,78.394142,144.406174,78.394142,293.879974,99.6048000000028,-1591.9952500000509,133.60440000000244,1600.693639615378,8.906761678747486,-84.02414827453538,False,False,False
17.47,145.435471,277.466705,79.725044,145.435471,79.725044,277.466705,100.18310000000383,-1692.6391500000173,134.23195000000305,1700.9062766769941,9.127699203519924,-84.34866833207472,False,False,False
17.48,146.409836,260.027191,81.078781,146.409836,81.078781,260.027191,95.26290000000154,-1797.2732500000584,124.42169999999896,1804.0917146068468,9.282592828903375,-85.01702742383247,False,False,False
17.49,147.340729,241.52124,82.213478,147.340729,82.213478,241.52124,96.98104999999941,-1891.674800000028,125.45129999999835,1898.308958437993,9.696949112114245,-85.20847605993474,False,False,False
17.5,148.349457,222.193695,83.587807,148.349457,83.587807,222.193695,130.2016999999787,-1966.5374499996924,158.63874999997552,1977.2173067054953,10.028816835184111,-84.04216020918432,False,False,False
17.51,149.944763,202.190491,85.386253,149.944763,85.386253,202.190491,142.11499999999705,-2065.308400000067,164.79984999999851,2076.741305722949,9.927972213074197,-83.98515856774648,False,False,False
17.52,151.191757,180.887527,86.883804,151.191757,86.883804,180.887527,128.07770000000164,-2177.80155000003,148.1579000000038,2186.589639541959,10.144766997524279,-84.86137664154101,False,False,False
17.53,152.506317,158.63446,88.349411,152.506317,88.349411,158.63446,132.60955000000467,-2273.338300000065,152.1873500000047,2282.2824778055874,10.291490747199385,-84.92582924053316,False,False,False
17.54,153.843948,135.420761,89.927551,153.843948,89.927551,135.420761,141.32920000000104,-2364.9539500000346,159.91745000000265,2374.564111412431,10.513317514194474,-84.84346938379365,False,False,False
17.55,155.332901,111.335381,91.54776,155.332901,91.54776,111.335381,143.32810000000063,-2438.0958500000625,153.50685000000067,2447.1245720302145,10.72572105494636,-85.0766994214127,False,False,False
17.56,156.71051,86.658844,92.997688,156.71051,92.997688,86.658844,36.83625000003758,-2114.946400000171,-153.05174999989595,2120.797025263327,11.344197392812069,-85.74314252746052,True,False,False
17.57,156.069626,69.036453,88.486725,156.069626,88.486725,69.036453,115.77760000006674,-818.7782499996833,-276.43544999994447,871.9052892092071,19.47427582478541,-69.89560335464535,False,True,False
17.58,159.026062,70.283279,87.468979,159.026062,87.468979,70.283279,421.10364999996455,602.9987499998433,-50.211700000019846,737.1953549511541,21.108751907604034,54.881429555938034,False,False,False
17.59,164.491699,81.096428,87.482491,164.491699,87.482491,81.096428,556.423949999913,1110.125749999827,36.02524999999332,1242.2900674092768,21.17565235335716,63.33074345101425,False,False,True
17.6,170.154541,92.485794,88.189484,170.154541,88.189484,92.485794,535.5858000000007,1052.494049999992,-10.640000000029431,1180.978020137135,22.128188535513495,63.02511642401165,False,False,False
17.61,175.203415,102.146309,87.269691,175.203415,87.269691,102.146309,512.1689000000097,923.5737000000354,-88.8927500000027,1059.8147396887525,25.298126195689967,60.62737409040806,False,False,False
17.62,180.397919,110.957268,86.411629,180.397919,86.411629,110.957268,534.2308000000176,855.8929500000095,-63.6126999999924,1010.9410789604242,28.755319651186245,57.846989560958875,False,False,False
17.63,185.888031,119.264168,85.997437,185.888031,85.997437,119.264168,545.7588000000142,764.88760000004,-43.91060000000107,940.6560738142484,32.35611718302424,54.4041260181938,False,False,False
17.64,191.313095,126.25502,85.533417,191.313095,85.533417,126.25502,553.3981500000136,668.2575000000033,-43.94040000000041,868.7625437838882,36.18218801236432,50.282656112316786,False,False,False
17.65,196.955994,132.629318,85.118629,196.955994,85.118629,132.629318,557.9140000000134,572.3831000000355,-46.8494499999988,800.6780348722999,40.02963483226648,45.63279111568487,False,False,False
17.66,202.471375,137.702682,84.596428,202.471375,84.596428,137.702682,570.6496999999108,499.768099999922,-39.69304999999349,759.5951369682551,43.55328079660024,41.14296164757344,False,False,False
17.67,208.368988,142.62468,84.324768,208.368988,84.324768,142.62468,582.470700000009,429.901899999988,-35.07195000000411,724.7881081108484,47.78940332103223,36.38025639130736,False,False,False
17.68,214.120789,146.30072,83.894989,214.120789,83.894989,146.30072,599.8497000000043,337.5793000000167,-40.25840000000244,689.4927013023101,51.90816751824155,29.31464421511835,False,False,False
17.69,220.365982,149.376266,83.5196,220.365982,83.5196,149.376266,630.6092916665812,261.1946794871252,-42.34712628204555,683.874270924822,56.457946091547285,22.45351645502821,False,False,False
