time_s,world_x_mm,world_y_mm,world_z_mm,plot_x_mm,plot_y_mm,plot_z_mm,vel_x_mm_s,vel_y_mm_s,vel_z_mm_s,speed_mm_s,tilt_deg,vel_elev_deg,is_contact_frame,is_minimum_frame,is_release_frame
33.0,150.698608,344.49408,122.806404,150.698608,122.806404,344.49408,6.613199999999503,21.585000000003195,-8.754700000001813,24.213455171250615,4.199172459959459,63.055580678294,False,False,False
33.01,150.76474,344.70993,122.718857,150.76474,122.718857,344.70993,4.293849999999111,22.528049999997165,-6.845100000001366,23.93335702810793,4.168079581155569,70.26806207903292,False,False,False
33.02,150.784485,344.944641,122.669502,150.784485,122.669502,344.944641,-0.769800000000032,24.856599999999162,-5.399699999999939,25.447984511350946,4.161573009463725,77.6237076544879,False,False,False
33.03,150.749344,345.207062,122.610863,150.749344,122.610863,345.207062,-6.075299999999515,26.197800000005373,-5.2726500000007945,27.40501474097002,4.150235275300928,72.93044642256632,False,False,False
33.04,150.662979,345.468597,122.564049,150.662979,122.564049,345.468597,-9.02940000000126,28.762800000004063,-5.228050000000621,30.596752033553546,4.148095147154911,70.06172997739469,False,False,False
33.05,150.568756,345.782318,122.506302,150.568756,122.506302,345.782318,-10.391999999998006,31.33849999999802,-8.324849999996331,34.049939409230575,4.164287330759676,66.98004959273626,False,False,False
33.06,150.455139,346.095367,122.397552,150.455139,122.397552,346.095367,-12.097149999999601,31.20119999999588,-12.655249999998887,35.77724517238163,4.161142013648541,60.703154208434206,False,False,False
33.07,150.326813,346.406342,122.253197,150.326813,122.253197,346.406342,-14.460750000003827,30.41840000000593,-13.807650000003377,36.4011476144031,4.120337326758322,56.682953827759164,False,False,False
33.08,150.165924,346.703735,122.121399,150.165924,122.121399,346.703735,-17.3721499999956,31.449849999993603,-11.63104999999905,37.76461286372366,4.088924044850205,56.38602530443147,False,False,False
33.09,149.97937,347.035339,122.020576,149.97937,122.020576,347.035339,-19.79519999999775,36.01989999999569,-8.302299999997558,41.93103056615183,4.0614871468392755,59.2075430680384,False,False,False
