Filename,Toe 1 force (N),Toe 2 force (N),Toe 3 force (N),Toe 4 force (N),Toe 1 area (cm²),Toe 2 area (cm²),Toe 3 area (cm²),Toe 4 area (cm²),Total force (N),Total area (cm²)
+10 toe 0 h.csv,3.3,8.4,29.3,25.6,6.32,6.32,10.54,13.35,66.5,36.53
+10 toe 0 w.csv,4.9,4.3,9.7,11.8,10.54,9.13,8.43,13.35,30.7,41.45
+10 toe 1 h.csv,31.3,15.5,27.2,35.8,15.46,11.94,13.35,16.16,109.9,56.91
+10 toe 1 w.csv,7.5,19.0,15.5,14.8,7.03,10.54,12.65,15.46,56.7,45.67
11.7 deg h.csv,33.2,12.9,4.1,49.3,13.35,12.65,9.84,14.05,99.5,49.88
11.7deg w.csv,1.5,7.6,2.3,3.7,5.62,6.32,6.32,6.32,15.1,24.59
16.7deg h.csv,32.9,25.0,13.0,0.0,10.54,10.54,9.13,0.00,70.8,30.21
16.7deg w.csv,4.1,12.0,6.0,0.0,7.73,9.13,7.03,0.00,22.2,23.89
flat h.csv,33.7,13.6,28.5,17.7,17.56,11.24,11.24,12.65,93.4,52.69
flat w.csv,3.7,12.2,14.7,12.9,6.32,13.35,11.24,14.05,43.5,44.97
