"Plot12"
"Time (sec)","Reaction Force2 (newton)"
0,0
0.04,-0.0799999825937145
0.08,-0.159999965306976
0.12,-0.239999948574885
0.16,-0.319999931451561
0.2,-0.399999914284012
0.24,-0.479999897152553
0.28,-0.559999880028101
0.32,-0.639999862904624
0.36,-0.719999845781407
0.4,-0.799999828658349
0.44,-0.879999811535423
0.48,-0.959999794412754
0.52,-1.03999977729016
0.56,-1.11999976016781
0.6,-1.19999974304566
0.64,-1.27999972592351
0.68,-1.35999970880171
0.72,-1.43999969167994
0.76,-1.51999967455839
0.8,-1.599999657437
0.84,-1.67999964031575
0.88,-1.75999962319462
0.92,-1.83999960607368
0.96,-1.91999958895284
1,-1.99999957183206
1.04,-2.07999955471162
1.08,-2.15999953759112
1.12,-2.23999952047084
1.16,-2.31999950335065
1.2,-2.39999948623056
1.24,-2.47999946911058
1.28,-2.55999945199069
1.32,-2.63999943487096
1.36,-2.71999941775127
1.4,-2.79999940063175
1.44,-2.87999938351224
1.48,-2.95999936639288
1.52,-3.03999934927358
1.56,-3.1199993321543
1.6,-3.19999931503517
1.64,-3.27999929791606
1.68,-3.35999928079708
1.72,-3.4399992636781
1.76,-3.51999924655926
1.8,-3.59999922944041
1.84,-3.67999921232169
1.88,-3.75999919520298
1.92,-3.83999917808433
1.96,-3.91999916096572
2,-3.99999914384711
2.04,-4.07999912672862
2.08,-4.15999910961009
2.12,-4.23999909249167
2.16,-4.31999907537323
2.2,-4.39999905825487
2.24,-4.47999904113652
2.28,-4.55999902401819
2.32,-4.63999900689988
2.36,-4.71999898978157
2.4,-4.79999897266335
2.44,-4.87999895554508
2.48,-4.95999893842689
2.52,-5.03999892130868
2.56,-5.11999890419051
2.6,-5.19999888707235
2.64,-5.2799988699542
2.68,-5.35999885283606
2.72,-5.4399988357179
2.76,-5.51999881859984
2.8,-5.5999988014817
2.84,-5.67999878436366
2.88,-5.75999876724554
2.92,-5.83999875012751
2.96,-5.91999873300947
3,-5.99999871589145
3.04,-6.07999869877342
3.08,-6.15999868165539
3.12,-6.23999866453742
3.16,-6.3199986474194
3.2,-6.39999863030145
3.24,-6.47999861318348
3.28,-6.5599985960656
3.32,-6.63999857894767
3.36,-6.71999856182978
3.4,-6.79999854471189
3.44,-6.87999852759401
3.48,-6.95999851047621
3.52,-7.03999849335837
3.56,-7.11999847624062
3.6,-7.19999845912284
3.64,-7.27999844200515
3.68,-7.35999842488746
3.72,-7.43999840776981
3.76,-7.51999839065218
3.8,-7.59999837353457
3.84,-7.67999835641706
3.88,-7.75999833929953
3.92,-7.8399983221821
3.96,-7.91999830506467
4,-7.99999828794737
4.04,-8.07999827083006
4.08,-8.15999825371282
4.12,-8.23999823659564
4.16,-8.31999821947848
4.2,-8.39999820236152
4.24,-8.47999818524448
4.28,-8.55999816812763
4.32,-8.63999815101076
4.36,-8.71999813389405
4.4,-8.79999811677739
4.44,-8.87999809966086
4.48,-8.9599980825444
4.52,-9.039998065428
4.56,-9.11999804831177
4.6,-9.19999803119558
4.64,-9.2799980140796
4.68,-9.35999799696367
4.72,-9.43999797984793
4.76,-9.51999796273228
4.8,-9.59999794561676
4.84,-9.67999792850141
