"Plot13"
"Time (sec)","Angular Displacement1 (deg)"
0,5.86414769394836e-15
0.04,-0.37595415517729
0.08,-0.711005532336981
0.12,-1.08040847349787
0.16,-1.43975594007356
0.2,-1.79946001069396
0.24,-2.15897772317124
0.28,-2.51827201548167
0.32,-2.877301143765
0.36,-3.23602353979159
0.4,-3.59439792974685
0.44,-3.95238336776173
0.48,-4.30993926883349
0.52,-4.66702544098925
0.56,-5.02360211660969
0.6,-5.37962998286486
0.64,-5.73507021119355
0.68,-6.08988448577534
0.72,-6.4440350309457
0.76,-6.79748463750652
0.8,-7.15019668789241
0.84,-7.50213518015217
0.88,-7.85326475071861
0.92,-8.20355069593196
0.96,-8.552958992297
1,-8.90145631545441
1.04,-9.24901005785088
1.08,-9.59558834509796
1.12,-9.94116005101452
1.16,-10.2856948113492
1.2,-10.6291630361878
1.24,-10.9715359210499
1.28,-11.312785456687
1.32,-11.6528844375883
1.36,-11.9918064692296
1.4,-12.3295259740617
1.44,-12.6660181962795
1.48,-13.0012592053925
1.52,-13.3352258986179
1.56,-13.6678960021489
1.6,-13.9992480713032
1.64,-14.3292614896123
1.68,-14.657916466869
1.72,-14.9851940361857
1.76,-15.3110760500989
1.8,-15.6355451757553
1.84,-15.9585848892293
1.88,-16.2801794690104
1.92,-16.6003139887037
1.96,-16.9189743089868
2,-17.2361470688664
2.04,-17.5518196762793
2.08,-17.8659802980784
2.12,-18.1786178494488
2.16,-18.4897219827941
2.2,-18.7992830761371
2.24,-19.1072922210735
2.28,-19.4137412103208
2.32,-19.7186225248994
2.36,-20.021929320987
2.4,-20.3236554164804
2.44,-20.6237952773037
2.48,-20.9223440034957
2.52,-21.2192973151109
2.56,-21.5146515379671
2.6,-21.8084035892692
2.64,-22.1005509631411
2.68,-22.3910917160918
2.72,-22.6800244524445
2.76,-22.9673483097543
2.8,-23.2530629442376
2.84,-23.5371685162382
2.88,-23.8196656757503
2.92,-24.1005555480192
2.96,-24.3798397192402
3,-24.6575202223711
3.04,-24.9335995230772
3.08,-25.2080805058238
3.12,-25.4809664601292
3.16,-25.752261066993
3.2,-26.0219683855112
3.24,-26.2900928396884
3.28,-26.5566392054588
3.32,-26.8216125979233
3.36,-27.0850184588112
3.4,-27.346862544175
3.44,-27.6071509123219
3.48,-27.8658899119927
3.52,-28.1230861707857
3.56,-28.3787465838345
3.6,-28.6328783027403
3.64,-28.8854887247677
3.68,-29.1365854822968
3.72,-29.3861764325388
3.76,-29.6342696475146
3.8,-29.8808734042974
3.84,-30.1259961755182
3.88,-30.3696466201353
3.92,-30.6118335744645
3.96,-30.8525660434713
4,-31.091853192322
4.04,-31.3297043381919
4.08,-31.5661289423291
4.12,-31.8011366023704
4.16,-32.0347370449074
4.2,-32.2669401182998
4.24,-32.4977557857319
4.28,-32.7271941185106
4.32,-32.9552652896
4.36,-33.1819795673899
4.4,-33.4073473096938
4.44,-33.6313789579741
4.48,-33.8540850317888
4.52,-34.0754761234569
4.56,-34.2955628929389
4.6,-34.5143560629282
4.64,-34.7318664141477
4.68,-34.9481047808522
4.72,-35.1630820465218
4.76,-35.3768091397624
4.8,-35.5892970303908
4.84,-35.8005567257
4.88,-36.0105992669203
4.92,-36.2194357258511
4.96,-36.4270772016726
5,-36.6335348179275
5.04,-36.4241164411704
5.08,-36.2195719474843
5.12,-36.0106033204103
5.16,-35.8005569783469
5.2,-35.5892972617607
5.24,-35.3768093658556
5.28,-35.1630822674685
5.32,-34.9481049967719
5.36,-34.7318666251556
5.4,-34.5143562691338
5.44,-34.2955630944536
5.48,-34.0754763203894
5.52,-33.8540852242466
5.56,-33.6313791460631
5.6,-33.4073474935183
5.64,-33.1819797470531
5.68,-32.9552654652039
5.72,-32.7271942901585
5.76,-32.497755953522
5.8,-32.2669402823312
5.84,-32.0347372052783
5.88,-31.8011367591779
5.92,-31.5661290956699
5.96,-31.3297044881617
6,-31.091853339016
6.04,-30.8525661869843
6.08,-30.6118337148904
6.12,-30.3696467575679
6.16,-30.1259963100506
6.2,-29.8808735360225
6.24,-29.6342697765252
6.28,-29.3861765589273
6.32,-29.1365856061553
6.36,-28.8854888461884
6.4,-28.6328784218151
6.44,-28.3787467006555
6.48,-28.1230862854451
6.52,-27.8658900245816
6.56,-27.607151022932
6.6,-27.3468626528987
6.64000000000001,-27.0850185657419
6.68000000000001,-26.8216127031536
6.72000000000001,-26.5566393090816
6.76000000000001,-26.2900929417967
6.80000000000001,-26.0219684861984
6.84000000000001,-25.7522611663529
6.88000000000001,-25.4809665582556
6.92000000000001,-25.208080602811
6.96000000000001,-24.9335996190198
7.00000000000001,-24.6575203173639
7.04000000000001,-24.3798398133786
7.08000000000001,-24.1005556413986
7.12000000000001,-23.8196657684665
7.16000000000001,-23.5371686083873
7.20000000000001,-23.2530630359158
7.24000000000001,-22.9673484010572
7.28000000000001,-22.6800245434699
7.32000000000001,-22.3910918069364
7.36000000000001,-22.1005510539017
7.40000000000001,-21.8084036800427
7.44000000000001,-21.5146516288503
7.48000000000001,-21.2192974062007
7.52000000000001,-20.9223440948886
7.56000000000001,-20.6237953690959
7.60000000000001,-20.3236555087677
7.64000000000001,-20.0219294138647
7.68000000000001,-19.7186226184624
7.72000000000001,-19.413741304663
7.76000000000001,-19.1072923162882
7.80000000000001,-18.7992831723164
7.84000000000001,-18.4897220800293
7.88000000000001,-18.1786179478296
7.92000000000001,-17.8659803976933
7.96000000000001,-17.551819777215
8.00000000000001,-17.2361471712081
8.04,-16.9189744128177
8.08,-16.600314094105
8.12,-16.2801795760606
8.16,-15.9585849980046
8.2,-15.6355452863294
8.24,-15.3110761625424
8.28,-14.9851941505661
8.32,-14.6579165832505
8.36,-14.3292616080546
8.4,-13.9992481918655
8.44,-13.6678961248836
8.48,-13.3352260235743
8.51999999999999,-13.0012593326151
8.55999999999999,-12.6660183258095
8.59999999999999,-12.3295261059331
8.63999999999999,-11.9918066034737
8.67999999999999,-11.6528845742303
8.71999999999999,-11.3127855957473
8.75999999999999,-10.9715360625444
8.79999999999999,-10.6291631801249
8.83999999999999,-10.2856949577326
8.87999999999999,-9.94116019984202
8.91999999999999,-9.59558849636146
8.95999999999998,-9.24901021153599
8.99999999999998,-8.90145647154095
9.03999999999998,-8.55295915075835
9.07999999999998,-8.20355085673543
9.11999999999998,-7.85326491382516
9.15999999999998,-7.50213534551658
9.19999999999998,-7.15019685546332
9.23999999999998,-6.79748480722634
9.27999999999998,-6.44403520275029
9.31999999999998,-6.08988465959483
9.35999999999998,-5.73507038695188
9.39999999999998,-5.37963016048041
9.43999999999997,-5.02360229599503
9.47999999999997,-4.66702562205123
9.51999999999997,-4.30993945147419
9.55999999999997,-3.95238355187847
9.59999999999997,-3.59439811523082
9.63999999999997,-3.23602372653004
9.67999999999997,-2.87730133163924
9.71999999999997,-2.5182722043606
9.75999999999997,-2.15897791280629
9.79999999999997,-1.79946028514007
9.83999999999997,-1.43976137477701
9.87999999999997,-1.07992342509286
9.91999999999996,-0.719988833744366
9.95999999999996,-0.360000116673735
9.99999999999996,1.28119003690026e-07
10.04,0.359969256977748
10.08,0.719864617017285
10.12,1.07964358257441
10.16,1.43926359153717
10.2,1.79868218149417
10.24,2.15785702562215
10.28,2.51674596822137
10.32,2.87530705982258
10.36,3.23349859179028
10.4,3.59127913034371
10.44,3.94860754992483
10.48,4.30544306583168
10.52,4.66174526607381
10.56,5.01747414235822
10.5999999999999,5.37259012016361
10.6399999999999,5.7270540878393
10.6799999999999,6.0808274246786
10.7199999999999,6.43387202791614
10.7599999999999,6.78615033860619
10.7999999999999,7.13762536634404
10.8399999999999,7.48826071278886
10.8799999999999,7.83802059396446
10.9199999999999,8.1868698613078
10.9599999999999,8.53477402144324
10.9999999999999,8.88169925466595
11.0399999999999,9.22761243212221
11.0799999999999,9.57248113167618
11.1199999999999,9.91627365246087
11.1599999999999,10.2589590281113
11.1999999999999,10.6005070386851
11.2399999999999,10.9408882212778
11.2799999999999,11.2800738793436
11.3199999999999,11.6180360907378
11.3599999999999,11.9547477144977
11.3999999999999,12.290182396385
11.4399999999999,12.6243145732122
11.4799999999999,12.9571194759823
11.5199999999999,13.2885731318689
11.5599999999999,13.6186523650694
11.5999999999999,13.9473347965678
11.6399999999999,14.2745988428373
11.6799999999999,14.6004237135254
11.7199999999999,14.9247894081575
11.7599999999999,15.2476767118985
11.7999999999999,15.5690671904162
11.8399999999999,15.8889431838837
11.8799999999999,16.2072878001674
11.9199999999999,16.5240849072412
11.9599999999999,16.8393191248689
11.9999999999999,17.1529758156003
12.0399999999999,17.4650410751189
12.0799999999999,17.7755017219982
12.1199999999999,18.084345286878
12.1599999999999,18.3915600011437
12.1999999999999,18.6971347851112
