"Plot5"
"Time (sec)","Linear Displacement3 (mm)"
0,0.00123924789738328
0.04,1.96617707046154e-05
0.08,0.000558830175835523
0.12,0.00296314264219832
0.16,0.00710766136243629
0.2,0.0129984274348099
0.24,0.0206558442490817
0.28,0.0300775807710318
0.32,0.041258638528982
0.36,0.0541930257874912
0.4,0.0688738697107935
0.44,0.0852934345910786
0.48,0.103443135541635
0.52,0.123313553118627
0.56,0.144894449102144
0.6,0.168174783480149
0.64,0.193142732539772
0.68,0.219785708015202
0.72,0.248090377234791
0.76,0.278042684203735
0.8,0.309627871556813
0.84,0.342830503315204
0.88,0.377634488378922
0.92,0.414023104686342
0.96,0.451979023970803
1,0.491484337044497
1.04,0.532520579539647
1.08,0.575068758056567
1.12,0.619109376534546
1.16,0.664622463057339
1.2,0.711587596664898
1.24,0.75998393436319
1.28,0.809790238173944
1.32,0.86098490217229
1.36,0.913545979456198
1.4,0.967451208984907
1.44,1.02267804223453
1.48,1.07920366961577
1.52,1.13700504660132
1.56,1.19605891951977
1.6,1.25634185096514
1.64,1.31783024478374
1.68,1.38050037059718
1.72,1.44432838782546
1.76,1.50929036917712
1.8,1.57536232357463
1.84,1.64252021848871
1.88,1.71074000165632
1.92,1.77999762216033
1.96,1.85026905085196
2,1.92153030009965
2.04,1.99375744285058
2.08,2.06692663099384
2.12,2.14101411301639
2.16,2.21599625094577
2.2,2.29184953657532
2.24,2.36855060697011
2.28,2.44607625925403
2.32,2.52440346467957
2.36,2.60350938198498
2.4,2.6833713700436
2.44,2.76396699981349
2.48,2.84527406559518
2.52,2.92727059560809
2.56,3.00993486189671
2.6,3.093245389579
2.64,3.17718096545017
2.68,3.26172064595638
2.72,3.34684376455346
2.76,3.43252993846616
2.8,3.51875907486473
2.84,3.60551137647556
2.88,3.69276734664312
2.92,3.78050779386128
2.96,3.86871383579163
3,3.9573669027872
3.04,4.04644874093975
3.08,4.13594141466937
3.12,4.22582730887405
3.16,4.31608913065853
3.2,4.40670991065981
3.24,4.4976730039879
3.28,4.58896209079949
3.32,4.68056117652255
3.36,4.77245459174869
3.4,4.86462699181092
3.44,4.95706335606312
3.48,5.04974898687909
3.52,5.1426695083845
3.56,5.23581086493993
3.6,5.32915931938845
3.64,5.42270145108549
3.68,5.51642415372173
3.72,5.61031463295525
3.76,5.70436040386595
3.8,5.79854928824553
3.84,5.89286941173524
3.88,5.98730920082433
3.92,6.08185737971986
3.96,6.17650296710046
4,6.27123527276378
4.04,6.36604389417875
4.08,6.46091871295255
4.12,6.55584989122133
4.16,6.65082786797458
4.2,6.74584335532125
4.24,6.84088733470636
4.28,6.93595105308589
4.32,7.03102601906744
4.36,7.126103999024
4.4,7.22117701318718
4.44,7.31623733172761
4.48,7.41127747082682
4.52,7.50629018874758
4.56,7.60126848190983
4.6,7.69620558097167
4.64,7.79109494692791
4.68,7.8859302672256
4.72,7.98070545190135
4.76,8.07541462974803
4.8,8.17005214451134
4.84,8.26461255111752
4.88,8.35909061194373
4.92,8.45348129312631
4.96,8.54777976091388
5,8.64198137806679
5.04,8.54641750464165
5.08,8.45353235816133
5.12,8.35909141474916
5.16,8.26461224551257
5.2,8.17005186661585
5.24,8.07541435127113
5.28,7.98070517064494
5.32,7.88592998306375
5.36,7.79109465986302
5.4,7.69620529101296
5.44,7.6012681890672
5.48,7.50628989303063
5.52,7.41127717224486
5.56,7.31623703029102
5.6,7.22117670890557
5.64,7.12610369190716
5.68,7.03102570912565
5.72,6.93595074033065
5.76,6.84088701914803
5.8,6.74584303697152
5.84,6.6508275468458
5.88,6.55584956732657
5.92,6.46091838630578
5.96,6.3660435647949
6,6.27123494065888
6.04,6.17650263229173
6.08,6.08185704222587
6.12,5.98730886066495
6.16,5.89286906893201
6.2,5.79854894282152
6.24,5.70436005584619
6.28,5.61031428236652
6.32,5.51642380059289
6.36,5.42270109544753
6.4,5.3291589612746
6.44,5.23581050438596
6.48,5.14266914542868
6.52,5.049748621562
6.56,4.95706298842828
6.6,4.86462662190504
6.64000000000001,4.77245421962182
6.68000000000001,4.6805608022276
6.72000000000001,4.58896171439273
6.76000000000001,4.49767262552904
6.80000000000001,4.40670953021229
6.84000000000001,4.31608874828936
6.88000000000001,4.22582692465425
6.92000000000001,4.13594102867389
6.96000000000001,4.04644835324774
7.00000000000001,3.95736651348201
7.04000000000001,3.86871344496105
7.08000000000001,3.78050740159757
7.12000000000001,3.69276695304312
7.16000000000001,3.60551098164095
7.20000000000001,3.51875867890194
7.24000000000001,3.4325295414863
7.28000000000001,3.34684336667328
7.32000000000001,3.26172024729745
7.36000000000001,3.17718056613916
7.40000000000001,3.09324498974804
7.44000000000001,3.0099344616831
7.48000000000001,2.92727019515462
7.52000000000001,2.84527366505009
7.56000000000001,2.76396659933047
7.60000000000001,2.68337096978182
7.64000000000001,2.60350898210914
7.68000000000001,2.52440306535986
7.72000000000001,2.44607586066617
7.76000000000001,2.36855020929526
7.80000000000001,2.29184914000006
7.84000000000001,2.21599585566206
