"Plot4"
"Time (sec)","Linear Displacement2 (mm)"
0,-0.334155792991986
0.04,-0.0386902321658812
0.08,0.224326625658052
0.12,0.513960652158798
0.16,0.795351015040847
0.2,1.07666240625205
0.24,1.35745299740385
0.28,1.63768266951005
0.32,1.91730811853363
0.36,2.1962863560616
0.4,2.4745747945778
0.44,2.75213128444596
0.48,3.02891415100164
0.52,3.3048822306962
0.56,3.57999490630809
0.6,3.85421214065709
0.64,4.1274945095182
0.68,4.39980323273735
0.72,4.67110020448207
0.76,4.94134802163929
0.8,5.21051001108272
0.84,5.47855025527439
0.88,5.74543361633799
0.92,6.01112575873914
0.96,6.27559317005864
1,6.53880318060863
1.04,6.80072398094398
1.08,7.06132463825177
1.12,7.32057511068207
1.16,7.57844626039189
1.2,7.83490986481862
1.24,8.08993862636455
1.28,8.34350618068074
1.32,8.5955871030747
1.36,8.84615691384898
1.4,9.09519208164798
1.44,9.34267002585229
1.48,9.58856911711573
1.52,9.83286867684709
1.56,10.0755489752045
1.6,10.316591227796
1.64,10.5559775913152
1.68,10.7936911576646
1.72,11.0297159473846
1.76,11.2640369015092
1.8,11.4966398728818
1.84,11.7275116160611
1.88,11.9566397766316
1.92,12.1840128794827
1.96,12.4096203162806
2,12.6334523323543
2.04,12.8555000125597
2.08,13.075755266939
2.12,13.2942108152986
2.16,13.5108601717416
2.2,13.7256976282742
2.24,13.9387182383024
2.28,14.1499177995742
2.32,14.3592928367843
2.36,14.5668405840543
2.4,14.7725589668413
2.44,14.9764465840822
2.48,15.1785026896844
2.52,15.3787271743852
2.56,15.5771205470879
2.6,15.7736839164738
2.64,15.9684189724335
2.68,16.1613279675169
2.72,16.352413698601
2.76,16.5416794883121
2.8,16.7291291669944
2.84,16.9147670543185
2.88,17.0985979415376
2.92,17.2806270734829
2.96,17.4608601310817
3,17.6393032139258
3.04,17.815962823075
3.08,17.9908458442794
3.12,18.1639595311418
3.16,18.3353114889987
3.2,18.5049096585995
3.24,18.6727623005772
3.28,18.8388779797897
3.32,19.0032655503027
3.36,19.1659341405287
3.4,19.3268931386969
3.44,19.4861521788232
3.48,19.6437211266971
3.52,19.7996100666454
3.56,19.9538292881489
3.6,20.1063892732931
3.64,20.257300684127
3.68,20.4065743506876
3.72,20.5542212592
3.76,20.7002525406198
3.8,20.8446794596813
3.84,20.987513403958
3.88,21.1287658736958
3.92,21.2684484714836
3.96,21.4065728927419
4,21.5431509160922
4.04,21.6781943943681
4.08,21.8117152457696
4.12,21.943725445324
4.16,22.0742370168145
4.2,22.2032620246795
4.24,22.33081256664
4.28,22.4569007661188
4.32,22.5815387654272
4.36,22.7047387187835
4.4,22.8265127859194
4.44,22.946873125777
4.48,23.0658318904561
4.52,23.1834012195743
4.56,23.2995932345413
4.6,23.4144200335017
4.64,23.5278936860126
4.68,23.6400262284328
4.72,23.75082965908
4.76,23.8603159339233
4.8,23.9684969623046
4.84,24.0753846028499
4.88,24.1809906597396
4.92,24.2853268788315
4.96,24.3884049443984
5,24.4902364755411
5.04,24.3869593811275
5.08,24.2854086157698
5.12,24.1809929680076
5.16,24.0753841642381
5.2,23.9684964737294
5.24,23.8603154532827
5.28,23.7508291893847
5.32,23.6400257697767
5.36,23.5278932383171
5.4,23.4144195966451
5.44,23.2995928084549
5.48,23.1834008041267
5.52,23.0658314855796
5.56,22.9468727313426
5.6,22.8265124018502
5.64,22.7047383449716
5.68,22.581538401776
5.72,22.4569004125437
5.76,22.3308122230232
5.8,22.203261690957
5.84,22.07423669286
5.88,21.9437251310739
5.92,21.8117149410982
5.96,21.6781940992021
6,21.5431506303271
6.04,21.406572616284
6.08,21.2684482042498
6.12,21.1287656155716
