"Plot12"
"Time (sec)","Reaction Force2 (newton)"
0,0
0.04,-0.0799999823044311
0.08,-0.159999965696613
0.12,-0.239999948599311
0.16,-0.319999931476022
0.2,-0.399999914351491
0.24,-0.479999897226958
0.28,-0.559999880102462
0.32,-0.639999862978033
0.36,-0.71999984585345
0.4,-0.799999828729057
0.44,-0.87999981160449
0.48,-0.959999794480106
0.52,-1.03999977735567
0.56,-1.11999976023121
0.6,-1.19999974310678
0.64,-1.27999972598237
0.68,-1.35999970885795
0.72,-1.43999969173363
0.76,-1.51999967460917
0.8,-1.59999965748488
0.84,-1.67999964036051
0.88,-1.75999962323615
0.92,-1.83999960611179
0.96,-1.91999958898753
1,-1.9999995718632
1.04,-2.07999955473885
1.08,-2.15999953761464
1.12,-2.23999952049033
1.16,-2.31999950336603
1.2,-2.39999948624185
1.24,-2.47999946911757
1.28,-2.55999945199329
1.32,-2.63999943486911
1.36,-2.71999941774486
1.4,-2.79999940062069
1.44,-2.87999938349644
1.48,-2.9599993663723
1.52,-3.03999934924805
1.56,-3.11999933212392
1.6,-3.19999931499979
1.64,-3.27999929787558
1.68,-3.35999928075147
1.72,-3.43999926362738
1.76,-3.51999924650319
1.8,-3.59999922937911
1.84,-3.679999212255
1.88,-3.75999919513091
1.92,-3.83999917800682
1.96,-3.91999916088273
2,-3.99999914375866
2.04,-4.0799991266346
2.08,-4.15999910951055
2.12,-4.2399990923865
2.16,-4.31999907526246
2.2,-4.39999905813842
2.24,-4.4799990410144
2.28,-4.55999902389039
2.32,-4.63999900676637
2.36,-4.71999898964237
2.4,-4.79999897251837
2.44,-4.87999895539438
2.48,-4.95999893827033
2.52,-5.03999892114645
2.56,-5.11999890402243
2.6,-5.19999888689843
2.64,-5.27999886977455
2.68,-5.35999885265056
2.72,-5.43999883552657
2.76,-5.51999881840272
2.8,-5.59999880127874
2.84,-5.67999878415476
2.88,-5.75999876703093
2.92,-5.83999874990697
2.96,-5.91999873278301
3,-5.99999871565921
3.04,-6.07999869853528
3.08,-6.15999868141138
3.12,-6.23999866428748
3.16,-6.3199986471636
3.2,-6.39999863003971
3.24,-6.47999861291584
3.28,-6.55999859579197
3.32,-6.63999857866808
3.36,-6.71999856154422
3.4,-6.79999854442037
3.44,-6.87999852729651
3.48,-6.95999851017267
3.52,-7.03999849304882
3.56,-7.11999847592496
3.6,-7.19999845880111
3.64,-7.27999844167728
3.68,-7.35999842455344
3.72,-7.43999840742963
3.76,-7.51999839030579
3.8,-7.59999837318196
3.84,-7.67999835605813
3.88,-7.75999833893432
3.92,-7.8399983218105
3.96,-7.91999830468669
4,-7.99999828756288
4.04,-8.07999827043907
4.08,-8.15999825331524
4.12,-8.23999823619144
4.16,-8.31999821906763
4.2,-8.39999820194384
4.24,-8.47999818482005
4.28,-8.55999816769626
4.32,-8.63999815057245
4.36,-8.71999813344866
4.4,-8.79999811632487
4.44,-8.87999809920104
4.48,-8.95999808207725
4.52,-9.03999806495346
4.56,-9.11999804782967
4.6,-9.19999803070588
4.64,-9.2799980135821
4.68,-9.35999799645833
4.72,-9.43999797933456
4.76,-9.51999796221078
4.8,-9.59999794508699
4.84,-9.67999792796322
4.88,-9.75999791083945
4.92,-9.83999789371568
4.96,-9.91999787659191
5,-9.99999785946813
5.04,-9.91999787753531
5.08,-9.83999789375132
5.12,-9.75999791084116
5.16,-9.67999792796359
5.2,-9.59999794508736
5.24,-9.51999796221113
5.28,-9.43999797933492
5.32,-9.3599979964587
5.36,-9.27999801358248
5.4,-9.19999803070626
5.44,-9.11999804783004
5.48,-9.03999806495382
5.52,-8.9599980820776
5.56,-8.87999809920139
5.6,-8.7999981163252
5.64,-8.71999813344897
5.68,-8.63999815057277
5.72,-8.55999816769656
5.76,-8.47999818482035
5.8,-8.39999820194415
5.84,-8.31999821906796
5.88,-8.23999823619177
5.92,-8.15999825331557
5.96,-8.07999827043937
6,-7.99999828756317
6.04,-7.91999830468698
6.08,-7.8399983218108
6.12,-7.75999833893463
6.16,-7.67999835605845
6.2,-7.59999837318228
6.24,-7.51999839030608
6.28,-7.43999840742992
6.32,-7.3599984245538
6.36,-7.27999844167763
6.4,-7.19999845880146
6.44,-7.11999847592531
6.48,-7.03999849304914
6.52,-6.95999851017298
6.56,-6.87999852729685
6.6,-6.7999985444207
6.64000000000001,-6.71999856154456
6.68000000000001,-6.63999857866843
6.72000000000001,-6.55999859579228
6.76000000000001,-6.47999861291615
6.80000000000001,-6.39999863004003
6.84000000000001,-6.31999864716392
6.88000000000001,-6.23999866428781
6.92000000000001,-6.1599986814117
6.96000000000001,-6.07999869853558
7.00000000000001,-5.99999871565948
7.04000000000001,-5.91999873278339
7.08000000000001,-5.8399987499073
7.12000000000001,-5.75999876703121
7.16000000000001,-5.67999878415515
7.20000000000001,-5.59999880127906
7.24000000000001,-5.51999881840299
7.28000000000001,-5.43999883552693
7.32000000000001,-5.35999885265087
7.36000000000001,-5.27999886977482
7.40000000000001,-5.19999888689878
7.44000000000001,-5.11999890402272
7.48000000000001,-5.03999892114662
7.52000000000001,-4.95999893827068
7.56000000000001,-4.87999895539463
7.60000000000001,-4.79999897251859
7.64000000000001,-4.71999898964265
7.68000000000001,-4.63999900676661
7.72000000000001,-4.55999902389059
7.76000000000001,-4.47999904101466
7.80000000000001,-4.39999905813866
7.84000000000001,-4.31999907526267
7.88000000000001,-4.23999909238675
7.92000000000001,-4.15999910951076
7.96000000000001,-4.0799991266348
8.00000000000001,-3.99999914375889
8.04,-3.91999916088297
8.08,-3.83999917800708
8.12,-3.75999919513108
8.16,-3.6799992122552
8.2,-3.59999922937933
8.24,-3.51999924650345
8.28,-3.43999926362759
8.32,-3.35999928075165
8.36,-3.27999929787583
8.4,-3.19999931499999
8.44,-3.11999933212409
8.48,-3.03999934924828
8.51999999999999,-2.95999936637249
8.55999999999999,-2.87999938349663
8.59999999999999,-2.79999940062088
8.63999999999999,-2.71999941774503
8.67999999999999,-2.63999943486929
8.71999999999999,-2.55999945199346
8.75999999999999,-2.47999946911773
8.79999999999999,-2.39999948624194
8.83999999999999,-2.31999950336626
8.87999999999999,-2.23999952049049
8.91999999999999,-2.15999953761473
8.95999999999998,-2.07999955473909
8.99999999999998,-1.99999957186336
9.03999999999998,-1.91999958898764
9.07999999999998,-1.83999960611192
9.11999999999998,-1.75999962323631
9.15999999999998,-1.67999964036063
9.19999999999998,-1.59999965748496
9.23999999999998,-1.51999967460939
9.27999999999998,-1.43999969173375
9.31999999999998,-1.3599997088581
9.35999999999998,-1.27999972598249
9.39999999999998,-1.19999974310688
9.43999999999997,-1.11999976023128
9.47999999999997,-1.03999977735579
9.51999999999997,-0.959999794480129
9.55999999999997,-0.879999811604671
9.59999999999997,-0.799999828729048
9.63999999999997,-0.719999845853603
9.67999999999997,-0.639999862977998
9.71999999999997,-0.559999880102583
9.75999999999997,-0.479999897227002
9.79999999999997,-0.399999914351614
9.83999999999997,-0.319999931476044
9.87999999999997,-0.239999948600683
9.91999999999996,-0.159999965725143
9.95999999999996,-0.0799999828497959
9.99999999999996,2.57121898200002e-11
10.04,0.0799999829010325
10.08,0.159999965776521
10.12,0.239999948651815
10.16,0.319999931527286
10.2,0.399999914402559
10.24,0.479999897278007
10.28,0.559999880153259
10.32,0.639999863028676
10.36,0.719999845903919
10.4,0.799999828779324
10.44,0.879999811654525
10.48,0.959999794529911
10.52,1.03999977740511
10.56,1.11999976028046
10.5999999999999,1.19999974315561
10.6399999999999,1.27999972603096
10.6799999999999,1.3599997089061
10.7199999999999,1.43999969178134
10.7599999999999,1.51999967465655
10.7999999999999,1.59999965753178
10.8399999999999,1.6799996404069
10.8799999999999,1.7599996232821
10.9199999999999,1.83999960615728
10.9599999999999,1.91999958903247
10.9999999999999,1.99999957190756
11.0399999999999,2.07999955478273
11.0799999999999,2.1599995376578
11.1199999999999,2.23999952053294
11.1599999999999,2.319999503408
