"Plot8"
"Time (sec)","Angular Displacement1 (deg)"
0,-8.20142054336369e-15
0.04,0.159998278353343
0.08,0.319992962549477
0.12,0.479980826424711
0.16,0.639958113248516
0.2,0.799921097825558
0.24,0.959866064557318
0.28,1.11978930910402
0.32,1.27968713902606
0.36,1.4395558744208
0.4,1.59939184861982
0.44,1.75919140867523
0.48,1.91895091603216
0.52,2.07866674715283
0.56,2.23833529413011
0.6,2.39795296521634
0.64,2.55751618552238
0.68,2.71702139746751
0.72,2.8764650615009
0.76,3.03584365666407
0.8,3.19515368105368
0.84,3.35439165252211
0.88,3.51355410915651
0.92,3.67263760990082
0.96,3.8316387350611
1,3.99055408684054
1.04,4.14938028994986
1.08,4.30811399202296
1.12,4.46675186427525
1.16,4.62529060191837
1.2,4.78372692468858
1.24,4.94205757739266
1.28,5.10027933037324
1.32,5.25838897995164
1.36,5.41638334900657
1.4,5.57425928732066
1.44,5.73201367214647
1.48,5.88964340858874
1.52,6.04714543009988
1.56,6.20451669888455
1.6,6.36175420629534
1.64,6.51885497331036
1.68,6.67581605092517
1.72,6.83263452049667
1.76,6.98930749420751
1.8,7.14583211540651
1.84,7.30220555897009
1.88,7.45842503166568
1.92,7.61448777255423
1.96,7.77039105321537
2,7.92613217824135
2.04,8.08170848538978
2.08,8.23711734600442
2.12,8.39235616529085
2.16,8.54742238260899
2.2,8.70231347171222
2.24,8.85702694111647
2.28,9.01156033424703
2.32,9.16591122978778
2.36,9.32007724188789
2.4,9.47405602035427
2.44,9.62784525097427
2.48,9.78144265562519
2.52,9.93484599252827
2.56,10.0880530564807
2.6,10.2410616789721
2.64,10.3938697283843
2.68,10.5464751101917
2.72,10.6988757670895
2.76,10.8510696791441
2.8,11.0030548639478
2.84,11.1548293767116
2.88,11.3063913104577
2.92,11.4577387960898
2.96,11.6088700024521
3,11.7597831365411
3.04,11.9104764434874
3.08,12.0609482066937
3.12,12.2111967479264
3.16,12.3612204272594
3.2,12.5110176433093
3.24,12.660586833154
3.28,12.8099264724219
3.32,12.959035075294
3.36,13.1079111945971
3.4,13.2565534217515
3.44,13.404960386827
3.48,13.5531307585492
3.52,13.7010632442875
3.56,13.8487565900353
3.6,13.9962095804223
3.64,14.1434210386951
3.68,14.2903898266847
3.72,14.4371148447798
3.76,14.5835950318764
3.8,14.7298293653821
3.84,14.875816861106
3.88,15.0215565732723
3.92,15.1670475944452
3.96,15.3122890554185
4,15.4572801252416
4.04,15.6020200110921
4.08,15.74650795821
4.12,15.8907432498554
4.16,16.0347252071853
4.2,16.1784531891984
4.24,16.321926592687
4.28,16.4651448520293
4.32,16.6081074392687
4.36,16.7508138638629
4.4,16.893263672726
4.44,17.0354564499883
4.48,17.1773918170662
4.52,17.3190694323919
4.56,17.4604889914564
4.6,17.6016502266059
4.64,17.7425529069928
4.68,17.8831968384584
4.72,18.0235818634474
4.76,18.1637078608259
4.8,18.3035747459071
4.84,18.4431824702507
4.88,18.5825310215825
4.92,18.7216204236989
4.96,18.8604507363757
5,18.9990220552173
5.04,18.860448620643
5.08,18.7216182643218
5.12,18.5825288691426
5.16,18.4431803312011
5.2,18.3035726207148
5.24,18.1637057495697
5.28,18.0235797661762
5.32,17.8831947552441
5.36,17.7425508378519
5.4,17.6016481715979
5.44,17.4604869506197
5.48,17.3190674057448
5.52,17.1773898046494
5.56,17.0354544518322
5.6,16.8932616888517
5.64,16.7508118942969
5.68,16.6081054840212
5.72,16.4651429111357
5.76,16.3219246661212
5.8,16.178451277017
5.84,16.0347233093645
5.88,15.8907413664017
5.92,15.7465060891302
5.96,15.6020181563725
6,15.4572782848835
6.04,15.3122872294072
6.08,15.1670457827743
6.12,15.0215547759207
6.16,14.8758150780467
6.2,14.7298275965881
6.24,14.5835932773428
6.28,14.4371131044677
6.32,14.2903881005607
6.36,14.1434193267316
6.4,13.9962078825761
6.44,13.8487549062673
6.48,13.7010615745476
6.52,13.5531291027968
6.56,13.4049587450138
6.6,13.2565517938173
6.64000000000001,13.1079095804958
6.68000000000001,12.959033474967
6.72000000000001,12.8099248858063
6.76000000000001,12.6605852601867
6.80000000000001,12.5110160839225
6.84000000000001,12.3612188813739
6.88000000000001,12.2111952154704
6.92000000000001,12.0609466876044
6.96000000000001,11.9104749376628
7.00000000000001,11.759781643911
7.04000000000001,11.6088685229333
7.08000000000001,11.4577373295935
7.12000000000001,11.3063898569003
7.16000000000001,11.1548279360033
7.20000000000001,11.0030534359597
7.24000000000001,10.851068263807
7.28000000000001,10.6988743642936
7.32000000000001,10.5464737198248
7.36000000000001,10.3938683503477
7.40000000000001,10.2410603131299
7.44000000000001,10.0880517027644
7.48000000000001,9.93484465079209
7.52000000000001,9.78144132575065
7.56000000000001,9.62784393284441
7.60000000000001,9.4740547138527
7.64000000000001,9.32007594686926
7.68000000000001,9.16590994613811
7.72000000000001,9.01155906182351
7.76000000000001,8.85702567978472
7.80000000000001,8.70231222134618
7.84000000000001,8.547421143042
7.88000000000001,8.39235493641033
7.92000000000001,8.2371161276416
7.96000000000001,8.08170727740651
8.00000000000001,7.92613098047962
8.04,7.77038986553712
8.08,7.61448659477723
8.12,7.45842386365626
8.16,7.3022044005307
8.2,7.14583096641247
8.24,6.98930635447282
8.28,6.83263338985428
8.32,6.67581492919779
8.36,6.51885386031997
8.4,6.36175310188272
8.44,6.20451560286005
8.48,6.04714434229431
8.51999999999999,5.88964232880253
8.55999999999999,5.73201260017932
8.59999999999999,5.57425822301043
8.63999999999999,5.41638229216092
8.67999999999999,5.25838793037088
8.71999999999999,5.10027828785155
8.75999999999999,4.94205654174791
8.79999999999999,4.78372589571783
8.83999999999999,4.6252895793966
8.87999999999999,4.46675084802796
8.91999999999999,4.30811298181516
8.95999999999998,4.14937928558471
8.99999999999998,3.99055308813195
9.03999999999998,3.83163774175228
9.07999999999998,3.67263662180415
9.11999999999998,3.51355312603633
9.15999999999998,3.35439067417966
9.19999999999998,3.19515270725085
9.23999999999998,3.03584268717545
9.27999999999998,2.87646409611283
9.31999999999998,2.71702043592172
9.35999999999998,2.55751522762074
9.39999999999998,2.39795201072489
9.43999999999997,2.23833434280064
9.47999999999997,2.07866579875447
9.51999999999997,1.91894997031929
9.55999999999997,1.75919046541109
9.59999999999997,1.59939090757704
9.63999999999997,1.43955493535307
9.67999999999997,1.27968620166622
9.71999999999997,1.11978837322149
9.75999999999997,0.959865129908935
9.79999999999997,0.799920164135819
9.83999999999997,0.639957180293222
9.87999999999997,0.479979894015519
9.91999999999996,0.3199920316579
9.95999999999996,0.1599973296037
9.99999999999996,-4.66310617629856e-07
10.04,-0.159997601474683
10.08,-0.319990313102989
10.12,-0.479974830917379
10.16,-0.639947377690076
10.2,-0.799904169945557
10.24,-0.959841418580342
10.28,-1.11975532948058
10.32,-1.27964210418518
10.36,-1.43949794047487
10.4,-1.59931903300224
10.44,-1.75910157395783
10.48,-1.91884175367533
10.52,-2.07853576124496
10.56,-2.23817978513401
10.5999999999999,-2.39777001384273
10.6399999999999,-2.55730263642317
10.6799999999999,-2.71677384324388
10.7199999999999,-2.87617982642322
10.7599999999999,-3.03551678057874
10.7999999999999,-3.19478090333816
10.8399999999999,-3.35396839595412
10.8799999999999,-3.51307546392257
10.9199999999999,-3.67209831754805
10.9599999999999,-3.83103317248463
10.9999999999999,-3.98987625037724
11.0399999999999,-4.14862377940985
11.0799999999999,-4.30727199480988
11.1199999999999,-4.46581713948996
11.1599999999999,-4.62425546455808
11.1999999999999,-4.78258322982122
11.2399999999999,-4.94079670438575
11.2799999999999,-5.09889216714437
11.3199999999999,-5.25686590732874
11.3599999999999,-5.41471422494344
11.3999999999999,-5.57243343140929
11.4399999999999,-5.73001984991595
11.4799999999999,-5.88746981597105
11.5199999999999,-6.04477967792715
11.5599999999999,-6.20194579736143
11.5999999999999,-6.35896454956645
11.6399999999999,-6.5158323240839
11.6799999999999,-6.67254552499165
11.7199999999999,-6.82910057150093
11.7599999999999,-6.98549389824238
11.7999999999999,-7.14172195580252
11.8399999999999,-7.29778121100999
11.8799999999999,-7.45366814741197
11.9199999999999,-7.60937926564241
11.9599999999999,-7.7649110837777
11.9999999999999,-7.92026013770658
12.0399999999999,-8.07542298148909
12.0799999999999,-8.23039618771262
12.1199999999999,-8.38517634776819
12.1599999999999,-8.53976007223736
12.1999999999999,-8.69414399118294
12.2399999999999,-8.84832475443848
12.2799999999999,-9.00229903187461
12.3199999999999,-9.15606351371565
12.3599999999999,-9.30961491081794
12.3999999999999,-9.46294995483649
12.4399999999999,-9.61606539861046
12.4799999999999,-9.76895801624491
12.5199999999999,-9.92162460346287
12.5599999999999,-10.0740619777266
12.5999999999999,-10.2262669784487
12.6399999999999,-10.3782364672603
12.6799999999999,-10.5299673280641
12.7199999999999,-10.6814564673148
12.7599999999999,-10.8327008140924
12.7999999999999,-10.9836973203046
12.8399999999999,-11.1344429607505
12.8799999999999,-11.2849347332929
12.9199999999999,-11.4351696590165
12.9599999999999,-11.5851447821887
12.9999999999999,-11.7348571705048
13.0399999999999,-11.8843039150215
13.0799999999999,-12.0334821303568
13.1199999999999,-12.1823889546173
13.1599999999999,-12.3310215495731
13.1999999999999,-12.4793771006081
13.2399999999999,-12.6274528167375
13.2799999999999,-12.7752459306816
13.3199999999999,-12.9227536988323
13.3599999999999,-13.0699734012623
13.3999999999999,-13.2169023416928
13.4399999999999,-13.3635378474674
13.4799999999999,-13.5098772695462
13.5199999999999,-13.6559179824151
13.5599999999999,-13.8016573840942
13.5999999999999,-13.9470928959927
13.6399999999999,-14.0922219628713
13.6799999999999,-14.2370420528262
13.7199999999999,-14.3815506570679
13.7599999999999,-14.5257452899246
13.7999999999999,-14.6696234886845
13.8399999999999,-14.8131828134948
13.8799999999999,-14.9564208472221
13.9199999999999,-15.0993351953476
13.9599999999999,-15.2419234857756
13.9999999999999,-15.3841833687118
14.0399999999999,-15.5261125165041
14.0799999999999,-15.6677086234967
14.1199999999999,-15.808969405805
14.1599999999999,-15.9498926011835
14.1999999999999,-16.0904759687908
14.2399999999999,-16.2307172890319
14.2799999999999,-16.3706143633797
14.3199999999999,-16.5101650140883
14.3599999999999,-16.6493670840475
14.3999999999999,-16.788218436513
14.4399999999999,-16.926716954947
14.4799999999999,-17.0648605426774
14.5199999999999,-17.2026471228056
14.5599999999999,-17.3400746378092
14.5999999999999,-17.4771410494184
14.6399999999999,-17.6138443382918
14.6799999999999,-17.7501825037535
14.7199999999999,-17.8861535636051
14.7599999999999,-18.0217555537511
14.7999999999999,-18.156986528015
14.8399999999999,-18.2918445578455
14.8799999999999,-18.4263277319874
14.9199999999999,-18.5604341562503
14.9599999999999,-18.6941619531988
15,-18.8275092619081
