"Plot5"
"Time (sec)","Linear Displacement3 (mm)"
0,-39.9736884114443
0.04,-39.8619864124045
0.08,-39.7502991144379
0.12,-39.6386376210032
0.16,-39.5270168132269
0.2,-39.4154504726228
0.24,-39.3039522683983
0.28,-39.1925357715339
0.32,-39.0812144463026
0.36,-38.9700016406936
0.4,-38.8589105767106
0.44,-38.747954341024
0.48,-38.6371458757627
0.52,-38.5264979695084
0.56,-38.4160232485748
0.6,-38.3057341685095
0.64,-38.1956430058368
0.68,-38.0857618501507
0.72,-37.9761025963975
0.76,-37.8666769375379
0.8,-37.7574963574741
0.84,-37.6485721243066
0.88,-37.5399152839052
0.92,-37.4315366538074
0.96,-37.3234468174877
1,-37.2156561188818
1.04,-37.1081746573741
1.08,-37.001012282995
1.12,-36.8941785920707
1.16,-36.7876829231687
1.2,-36.6815343533903
1.24,-36.5757416950193
1.28,-36.4703134924957
1.32,-36.3652580197471
1.36,-36.2605832778187
1.4,-36.1562969929216
1.44,-36.0524066146069
1.48,-35.948919314525
1.52,-35.8458419852453
1.56,-35.7431812395569
1.6,-35.640943409941
1.64,-35.5391345483913
1.68,-35.4377604264957
1.72,-35.3368265357505
1.76,-35.2363380882145
1.8,-35.1363000172458
1.84,-35.0367169786897
1.88,-34.9375933520839
1.92,-34.8389332421731
1.96,-34.7407404806257
2,-34.6430186278945
2.04,-34.5457709752893
2.08,-34.4490005471716
2.12,-34.3527101033292
2.16,-34.2569021414764
2.2,-34.1615788998701
2.24,-34.066742360051
2.28,-33.9723942496665
2.32,-33.8785360454031
2.36,-33.7851689759648
2.4,-33.6922940251386
2.44,-33.5999119348906
2.48,-33.5080232085083
2.52,-33.4166281137695
2.56,-33.3257266861159
2.6,-33.2353187318374
2.64,-33.1454038312292
2.68,-33.0559813417499
2.72,-32.9670504011242
2.76,-32.8786099304048
2.8,-32.7906586369852
2.84,-32.7031950175257
2.88,-32.6162173608102
2.92,-32.5297237505113
2.96,-32.4437120678293
3,-32.3581799940425
3.04,-32.2731250129034
3.08,-32.1885444129028
3.12,-32.1044352893822
3.16,-32.0207945464666
3.2,-31.9376188988225
3.24,-31.8549048732214
3.28,-31.7726488098898
3.32,-31.6908468636331
3.36,-31.6094950047221
3.4,-31.5285890195193
3.44,-31.4481245108306
3.48,-31.3680968979612
3.52,-31.2885014164423
3.56,-31.2093331175008
3.6,-31.1305868670358
3.64,-31.0522573443167
3.68,-30.9743390402491
3.72,-30.8968262551913
3.76,-30.8197130963055
3.8,-30.7429934744105
3.84,-30.6666611002834
3.88,-30.5907094804013
3.92,-30.5151319120287
3.96,-30.4399214776525
4,-30.3650710386742
4.04,-30.290573228316
4.08,-30.2164204436612
4.12,-30.1426048367858
4.16,-30.0691183048306
4.2,-29.9959524790115
4.24,-29.9230987123846
4.28,-29.8505480663101
4.32,-29.7782912954145
4.36,-29.7063188310022
4.4,-29.6346207626474
4.44,-29.5631868178356
4.48,-29.4920063394912
4.52,-29.4210682609462
4.56,-29.3503610784048
4.6,-29.2798728202038
4.64,-29.2095910129112
4.68,-29.1395026434555
4.72,-29.06959411712
4.76,-28.9998512106523
4.8,-28.9302590199457
4.84,-28.8608019015242
4.88,-28.7914634069406
4.92,-28.7222262090924
4.96,-28.6530720192367
5,-28.5839814932927
5.04,-28.6512646794646
5.08,-28.7222200282425
5.12,-28.7914590895284
5.16,-28.8607976942084
5.2,-28.9302548278735
5.24,-28.9998470293138
5.28,-29.069589947658
5.32,-29.1394984872964
5.36,-29.2095868714286
5.4,-29.2798686947228
5.44,-29.3503569701496
5.48,-29.4210641711149
5.52,-29.4920022691884
5.56,-29.5631827681373
5.6,-29.6346167345521
5.64,-29.7063148254852
5.68,-29.7782873134062
5.72,-29.8505441086739
5.76,-29.9230947799512
5.8,-29.9959485725699
5.84,-30.0691144251313
5.88,-30.1426009845433
5.92,-30.2164166195583
5.96,-30.2905694329911
6,-30.3650672727443
6.04,-30.4399177416977
6.08,-30.5151282066031
6.12,-30.5907058060244
6.16,-30.6666574574517
6.2,-30.7429898635903
6.24,-30.8197095179417
6.28,-30.8968227096986
6.32,-30.9743355280201
6.36,-31.0522538657197
6.4,-31.1305834224158
6.44,-31.2093297071825
6.48,-31.2884980407216
6.52,-31.3680935571088
6.56,-31.4481212051229
6.6,-31.5285857492037
6.64000000000001,-31.6094917700147
6.68000000000001,-31.6908436647271
6.72000000000001,-31.7726456469654
6.76000000000001,-31.8549017464419
6.80000000000001,-31.9376158083312
6.84000000000001,-32.0207914923899
6.88000000000001,-32.1044322718267
6.92000000000001,-32.1885414319598
6.96000000000001,-32.2731220686482
7.00000000000001,-32.3581770865301
7.04000000000001,-32.443709197099
7.08000000000001,-32.5297209165879
7.12000000000001,-32.6162145637023
7.16000000000001,-32.7031922572188
7.20000000000001,-32.7906559134592
7.24000000000001,-32.8786072436178
7.28000000000001,-32.9670477510159
7.32000000000001,-33.0559787282517
7.36000000000001,-33.1454012542505
7.40000000000001,-33.2353161912746
7.44000000000001,-33.3257241818512
7.48000000000001,-33.4166256456659
7.52000000000001,-33.5080207764173
7.56000000000001,-33.599909538646
7.60000000000001,-33.6922916645623
7.64000000000001,-33.7851666508622
7.68000000000001,-33.8785337555626
7.72000000000001,-33.9723919948658
7.76000000000001,-34.0667401400502
7.80000000000001,-34.1615767144127
7.84000000000001,-34.2568999902967
7.88000000000001,-34.3527079861415
7.92000000000001,-34.448998463678
7.96000000000001,-34.5457689251738
8.00000000000001,-34.6430166108345
8.04,-34.740738496274
8.08,-34.838931290175
8.12,-34.9375914320711
8.16,-35.0367150902722
8.2,-35.1362981600158
8.24,-35.2363362617545
8.28,-35.3368247396618
8.32,-35.4377586603149
8.36,-35.5391328116681
8.4,-35.6409417021993
8.44,-35.7431795603114
8.48,-35.8458403339969
8.51999999999999,-35.9489176907613
8.55999999999999,-36.0524050178042
8.59999999999999,-36.1562954225324
8.63999999999999,-36.2605817333021
8.67999999999999,-36.3652565005127
8.71999999999999,-36.4703119979755
8.75999999999999,-36.5757402246158
8.79999999999999,-36.6815329064979
8.83999999999999,-36.7876814991641
8.87999999999999,-36.8941771903194
8.91999999999999,-37.0010109028501
8.95999999999998,-37.1081732981776
8.99999999999998,-37.2156547799635
9.03999999999998,-37.3234454981526
9.07999999999998,-37.4315353533693
9.11999999999998,-37.5399140016444
9.15999999999998,-37.6485708595107
9.19999999999998,-37.7574951094076
9.23999999999998,-37.866675705452
9.27999999999998,-37.9761013795401
9.31999999999998,-38.0857606477486
9.35999999999998,-38.1956418171164
9.39999999999998,-38.3057329926786
9.43999999999997,-38.4160220848364
9.47999999999997,-38.5264968170461
9.51999999999997,-38.6371447337552
9.55999999999997,-38.7479532086458
9.59999999999997,-38.8589094531202
9.63999999999997,-38.9700005250394
9.67999999999997,-39.0812133377298
9.71999999999997,-39.1925346691588
9.75999999999997,-39.3039511713459
9.79999999999997,-39.4154493800282
9.83999999999997,-39.5270157242925
9.87999999999997,-39.6386365366446
9.91999999999996,-39.7502980629818
9.95999999999996,-39.8619864728016
9.99999999999996,-39.9736878694812
10.04,-40.0853883006022
10.08,-40.1970737684389
10.12,-40.3087302402824
10.16,-40.4203436590178
10.2,-40.5318999535574
10.24,-40.643385049259
10.28,-40.7547848783209
10.32,-40.8660853901538
10.36,-40.9772725615966
10.4,-41.0883324070425
10.44,-41.1992509884837
10.48,-41.3100144253793
10.52,-41.4206089043564
10.56,-41.5310206887633
10.5999999999999,-41.6412361279812
10.6399999999999,-41.7512416665552
10.6799999999999,-41.8610238530991
10.7199999999999,-41.9705693489181
10.7599999999999,-42.0798649364121
10.7999999999999,-42.1888975271814
10.8399999999999,-42.2976541698506
10.8799999999999,-42.4061220576153
10.9199999999999,-42.5142885354404
10.9599999999999,-42.622141106979
10.9999999999999,-42.729667441131
11.0399999999999,-42.8368553783341
11.0799999999999,-42.9436929363873
11.1199999999999,-43.0501683160562
11.1599999999999,-43.1562699062465
11.1999999999999,-43.2619862888545
11.2399999999999,-43.3673062432615
11.2799999999999,-43.4722187504368
11.3199999999999,-43.5767129967039
11.3599999999999,-43.6807783771453
11.3999999999999,-43.7844044986273
11.4399999999999,-43.8875811824883
11.4799999999999,-43.9902984668512
11.5199999999999,-44.0925466085955
11.5599999999999,-44.1943160849695
11.5999999999999,-44.295597594876
11.6399999999999,-44.3963820597976
11.6799999999999,-44.4966606244032
11.7199999999999,-44.596424656833
11.7599999999999,-44.6956657486581
11.7999999999999,-44.7943757145267
11.8399999999999,-44.892546591535
11.8799999999999,-44.990170638272
11.9199999999999,-45.0872403336111
11.9599999999999,-45.1837483752131
11.9999999999999,-45.2796876777815
12.0399999999999,-45.3750513710616
12.0799999999999,-45.4698327975947
12.1199999999999,-45.5640255102529
12.1599999999999,-45.6576232695475
12.1999999999999,-45.7506200407723
12.2399999999999,-45.8430099908953
12.2799999999999,-45.9347874852881
12.3199999999999,-46.0259470843189
12.3599999999999,-46.1164835397635
12.3999999999999,-46.2063917910735
12.4399999999999,-46.2956669615208
12.4799999999999,-46.3843043542198
12.5199999999999,-46.4722994480474
12.5599999999999,-46.559647893464
12.5999999999999,-46.6463455082672
12.6399999999999,-46.7323882732587
12.6799999999999,-46.8177723278773
12.7199999999999,-46.9024939657758
12.7599999999999,-46.9865496303759
12.7999999999999,-47.0699359104042
12.8399999999999,-47.1526495354276
12.8799999999999,-47.2346873713938
12.9199999999999,-47.3160464161991
12.9599999999999,-47.3967237952921
12.9999999999999,-47.4767167573199
13.0399999999999,-47.5560226698439
13.0799999999999,-47.6346390151231
13.1199999999999,-47.7125633859913
13.1599999999999,-47.7897934818337
13.1999999999999,-47.8663271046722
13.2399999999999,-47.9421621553873
13.2799999999999,-48.0172966300758
13.3199999999999,-48.0917286165633
13.3599999999999,-48.1654562910858
13.3999999999999,-48.2384779151522
13.4399999999999,-48.3107918325986
13.4799999999999,-48.3823964668614
13.5199999999999,-48.453290318451
13.5599999999999,-48.5234719626876
13.5999999999999,-48.5929400476589
13.6399999999999,-48.6616932924592
13.6799999999999,-48.7297304856867
13.7199999999999,-48.7970504842376
13.7599999999999,-48.8636522123916
13.7999999999999,-48.9295346612098
13.8399999999999,-48.9946968882537
13.8799999999999,-49.0591380176288
13.9199999999999,-49.1228572403765
13.9599999999999,-49.1858538152088
13.9999999999999,-49.2481270695998
14.0399999999999,-49.3096764012424
14.0799999999999,-49.3705012798652
14.1199999999999,-49.4306012494295
14.1599999999999,-49.4899759306846
14.1999999999999,-49.5486250241144
14.2399999999999,-49.6065483132306
14.2799999999999,-49.6637456682481
14.3199999999999,-49.7202170501112
14.3599999999999,-49.775962514882
14.3999999999999,-49.8309822184173
14.4399999999999,-49.8852764214373
14.4799999999999,-49.9388454948731
14.5199999999999,-49.9916899254624
14.5599999999999,-50.043810321646
14.5999999999999,-50.0952074196737
14.6399999999999,-50.1458820899276
14.6799999999999,-50.1958353434004
14.7199999999999,-50.2450683383107
14.7599999999999,-50.2935823868077
14.7999999999999,-50.341378961733
14.8399999999999,-50.3884597033501
14.8799999999999,-50.4348264260668
14.9199999999999,-50.4804811250716
14.9599999999999,-50.5254259827733
15,-50.5696633750737
